sampleID,B_cell,T_cell.CD4,T_cell.CD8,Neutrophil,Macrophage,DC
A01,0.0927246730514341,0.111782903676256,0.232516875185244,0.127758604006854,0.0700508478871876,0.465536925812216
A02,0.0884872791178886,0.119459161631939,0.232331053063852,0.126762073052103,0.0775629782168196,0.466121126463241
A03,0.0941606771657739,0.116386398527207,0.230089314967374,0.129605791554118,0.0809020935000345,0.459321048954989
A04,0.0823165021651044,0.124711654711059,0.211900910328882,0.123895678373254,0.0691270780537398,0.467282948683459
A05,0.091663523197478,0.113799105323346,0.220567525610235,0.124662141012287,0.0770127300634579,0.461357478060083
A06,0.0878815595942434,0.116345779607577,0.21474434977864,0.125857392593829,0.0690827161771216,0.46461323816875
A07,0.0815859218968684,0.124503589572356,0.203458868780297,0.124638437554193,0.0701661176461248,0.45895855189424
A08,0.0881518054537196,0.115339992169378,0.212449505887171,0.123959064033552,0.0676496934106442,0.46386020319244
A09,0.081234122261284,0.119231891508622,0.204839451168938,0.124879986211249,0.0680827395527235,0.464387599041163
A10,0.0864517838935189,0.12003964178728,0.207148167839157,0.123851216357264,0.0666262924007078,0.463070460302511
A11,0.0865793026992593,0.123956831147799,0.212270408668203,0.126586393107464,0.0724347982060599,0.465423798043068
B01,0.0898551708668544,0.118500114914024,0.234154561480706,0.128671496212602,0.0675123763999127,0.470070037441429
B02,0.086004661731166,0.122431632110609,0.203982784798966,0.121208916306422,0.0643406122034736,0.461905861524356
B03,0.0862809017519542,0.124889686741954,0.206846206369602,0.122444843907029,0.0644404391201642,0.464246197393841
B04,0.0894923452792284,0.123264276603458,0.203582402217166,0.125983319353573,0.0617262356001015,0.468290784950718
B05,0.0913283131392992,0.122010276850098,0.206645377292085,0.125819919518981,0.0630692184227634,0.4686651231547
B06,0.0893730896914695,0.118853879937386,0.208048634372244,0.126750758117172,0.0678053048617541,0.46700473588997
B07,0.0902688859924713,0.117361403011675,0.21837734334101,0.128293887390979,0.0775604241362047,0.463424395486209
B08,0.0901624572923156,0.122606804920775,0.213533825242128,0.12719585065519,0.0750766816563697,0.463924641775487
B09,0.0836094018421447,0.126890659195852,0.207877442847427,0.128085386045167,0.066148772133475,0.46570473587503
B10,0.085999721584379,0.120307443035389,0.213245357644981,0.125259501071286,0.0695786898763079,0.465597095902522
B11,0.0886719774934935,0.118987122610633,0.213916007268854,0.126702220541796,0.0669448083237536,0.466323180407433
B12,0.0896117138111501,0.1266909819005,0.208314306455367,0.127928361337138,0.066083996034238,0.462253667599986
C01,0.0942789280737475,0.113914002578923,0.221390317013601,0.126385889620738,0.0679764609429374,0.472680424142666
C02,0.0899974988853605,0.123645603195666,0.208966444606694,0.123801356759809,0.0676046200996716,0.472703773515656
C03,0.0934193318953149,0.119241552704333,0.215850608650294,0.129779193063702,0.0693309657000561,0.46955053070766
C04,0.0943111367188454,0.118071169990864,0.214581855683334,0.123213887226421,0.0670380261142587,0.474421884851848
C05,0.0955475930850354,0.117473458375396,0.214015784856413,0.12777790953933,0.0658666031372599,0.471125398197975
C06,0.0890207976548454,0.118363417968013,0.208046443606323,0.124689210369641,0.0690462228398431,0.468251103421653
C07,0.0899456352709038,0.118198723841342,0.217416376794049,0.127533186037877,0.0772213974267451,0.463460821007133
C08,0.0845376835123347,0.121414409643141,0.208169038985917,0.124405179253781,0.0709689672351399,0.468702252540671
C09,0.0907476214038452,0.122448768696436,0.205304902482223,0.125837196315016,0.0714423646431448,0.464885303918222
C10,0.0848098012518699,0.11994137545463,0.212638846627451,0.125001681116521,0.0708383635429082,0.467644208224667
C11,0.0854719088000508,0.127997786374316,0.225417008326334,0.126751842660595,0.0725806134978739,0.466528176119603
C12,0.0887916940220024,0.116379658491143,0.229272872336666,0.125963537603198,0.0741280776035883,0.46905685592885
D01,0.0922211986903862,0.117889000595672,0.219797766178676,0.12856542085405,0.0748640330134769,0.46430395964783
D02,0.0882221538278162,0.118268284285008,0.224981807306323,0.128378018736601,0.0770645057266256,0.467359667428272
D03,0.0874819065178382,0.117287114722175,0.210352772052033,0.123494284937545,0.0711881081353647,0.460893885845669
