sample_name	sample_cells	total_t_cells	fraction_productive_of_cells	productive_rearrangements	productive_clonality	max_productive_frequency	sample_clonality
6229A	145614	2402.0000	0.016496	1044	0.2386	0.133169949	0.2178
3935B2	49578	3795.0000	0.076538	2529	0.1499	0.0600402541	0.1401
3397B	19843	1679.0000	0.084607	1040	0.1046	0.0341284275	0.1045
3418B	93494	3472.0000	0.037137	1412	0.1188	0.0267541278	0.1125
4425A	4758	312.0000	0.065537	219	0.0819	0.0548156947	0.0753
2058A	42	3.0000	0.079781	1	no data	1.0	0.0583
2568A	2640	217.0000	0.082184	108	0.1725	0.133684069	0.1474
9883A	5941	192.0000	0.032327	141	0.0797	0.0481839478	0.0702
3328B	78950	614.0000	0.007775	512	0.0573	0.0421001241	0.0583
1545A	5041	442.0000	0.087711	284	0.1374	0.0689783916	0.1637
0481A	10558	801.0000	0.075872	622	0.0724	0.0432920232	0.0660
5244B	86944	1629.0000	0.018732	900	0.1391	0.0523538031	0.1304
2220A	13926	2066.0000	0.148326	1136	0.1167	0.0264937505	0.1102
2050B	30226	5576.0000	0.184492	3193	0.1330	0.0285152942	0.1274
3397A	68704	11921.0000	0.173511	4605	0.1412	0.0331087783	0.1353
1545B	51621	1519.0000	0.029429	702	0.1752	0.0973238647	0.2186
4425B	41184	3721.0000	0.090346	1592	0.1696	0.0555050448	0.1671
5219A	1187	51.0000	0.042964	54	0.0422	0.0812420249	0.0359
5441A	2590	514.0000	0.198337	385	0.0800	0.0612402	0.0905
4160A	8320	128.0000	0.015381	86	0.0495	0.0427738167	0.0515
2058B	67052	13500.0000	0.201333	2603	0.2752	0.0971118584	0.2651
7858B	8249	132.0000	0.016013	81	0.1431	0.185136035	0.1090
6648B	100032	8546.0000	0.085433	4236	0.1309	0.0277301222	0.1226
1573A	83865	285.0000	0.003398	203	0.1650	0.210056394	0.1408
7818B	63754	36835.0000	0.577762	10333	0.2305	0.105193697	0.2221
3328A	169894	20535.0000	0.120868	9267	0.1234	0.0106988782	0.1203
8089A	1095	163.0000	0.149120	143	0.1113	0.1462183	0.0983
2050A	668	65.0000	0.097275	67	0.0304	0.0608391613	0.0297
4997A	171	8.0000	0.048935	5	0.0313	0.290780127	0.0296
6648A	20665	8974.0000	0.434255	7514	0.0812	0.038284272	0.0871
1573B	67687	1118.0000	0.016518	748	0.1052	0.0709188953	0.1122
2945A	141	167.0000	1.184653	162	0.0401	0.0535982624	0.0372
0511B	63147	8596.0000	0.136134	4361	0.1482	0.0759704188	0.1612
1941A	23715	1950.0000	0.082239	769	0.2063	0.0668602586	0.1944
7678A	90	3.0000	0.036937	2	0.0005	0.512820542	0.0234
0511A	659	36.0000	0.053909	31	0.0203	0.0748626366	0.0281
3418A	7319	941.0000	0.128514	576	0.1368	0.056797374	0.1324
7818A	52213	9235.0000	0.176865	4700	0.1118	0.0378524028	0.1125
3582A	8	1.0000	0.094149	na	1.0000	no data	1.0000
8089B	587466	10666.0000	0.018156	3440	0.2194	0.0471731499	0.2086
5219B	92436	17451.0000	0.188785	6991	0.1683	0.0972366706	0.1770
6986A	212456	15875.0000	0.074723	6120	0.1605	0.0481533669	0.1540
5441B	160922	4658.0000	0.028943	2675	0.0992	0.0393399075	0.1090
3935B3	152029	3561.0000	0.023421	1463	0.1530	0.0289907828	0.1467
5244A	152606	124737.0000	0.817377	70923	0.0875	0.007205897627576783	0.0870
9883B	305795	19695.0000	0.064407	6386	0.1685	0.0417532213	0.1849
4997B	169189	14812.0000	0.087546	4268	0.1771	0.0395593531	0.1747
1941B	141502	4126.0000	0.029160	2442	0.1794	0.0824731514	0.1711
2220B	221021	4447.0000	0.020122	1767	0.1356	0.0266942754	0.1256
6986B	125065	775.0000	0.006195	481	0.1019	0.070010826	0.0958
2568B	198151	35781.0000	0.180573	6919	0.2912	0.104818232	0.2712
3935B1	135309	7068.0000	0.052236	4149	0.1286	0.0249354411	0.1202
0481B	150147	3591.0000	0.023917	1607	0.1666	0.121232785	0.1527
7678B	151607	1935.0000	0.012766	695	0.2000	0.188485846	0.2813
7858A	150419	14260.0000	0.094799	3312	0.3689	0.295978397	0.3316
2945B	290479	14871.0000	0.051195	5855	0.2271	0.0848175958	0.2138
6229B	159365	7041.0000	0.044180	3331	0.1276	0.0198096409	0.1202
3582B	65576	1408.0000	0.021467	786	0.1627	0.0844615996	0.1483
4160B	262894	3995.0000	0.015197	1715	0.1436	0.0758533254	0.1279
3935A	75428	3616.0000	0.047945	1486	0.1933	0.131070033	0.1842
7765A	20689	4250.0000	0.205409	2337	0.0843	0.0237019956	0.0780
9347A	120616	4022.0000	0.033343	1899	0.1043	0.0166948419	0.1020
9347B	64268	6478.0000	0.100789	2860	0.1554	0.0475398004	0.1601
0762A	1720	121.0000	0.070364	118	0.0480	0.0528280996	0.0420
2131M	15857	2524.0000	0.159172	1561	0.1004	0.0554382056	0.1216
2585B	16628	9337.0000	0.561495	3572	0.1789	0.0587473921	0.1645
4240A	68422	3425.0000	0.050054	1119	0.2075	0.0718095005	0.1872
8674A	61582	4767.0000	0.077413	1412	0.1725	0.0372832455	0.1672
3114B	13174	2041.0000	0.154956	867	0.2117	0.0988586396	0.1880
5660A	479	120.0000	0.250574	98	0.0535	0.0612282306	0.0522
0371B	67829	17614.0000	0.259682	8337	0.1182	0.0245359596	0.1154
2703A	4888	221.0000	0.045256	207	0.0464	0.0282855835	0.0474
7362A	3645	542.0000	0.148827	407	0.0682	0.0262304097	0.0712
2703B	74454	20049.0000	0.269276	9522	0.1209	0.026818417	0.1203
6965A	45439	19319.0000	0.425162	10865	0.1003	0.0322731212	0.0991
0564B	50485	5706.0000	0.113016	3068	0.1270	0.0345898829	0.1137
4240B	12740	1457.0000	0.114376	592	0.1659	0.0598921701	0.1596
0371A	18147	10527.0000	0.580100	6605	0.0959	0.0137912864	0.0944
0762B	16956	3881.0000	0.228913	2280	0.0938	0.026159266	0.0923
8674B	40253	5381.0000	0.133686	2112	0.1662	0.0364636257	0.1554
2359B	75331	2821.0000	0.037444	1137	0.1759	0.0590616539	0.1643
2585A	2192	110.0000	0.050251	89	0.0547	0.0590588227	0.0501
9717A	71895	576.0000	0.008005	384	0.0912	0.0710794628	0.0986
0824A	36051	10548.0000	0.292587	4180	0.1228	0.0426025726	0.1299
6902A	115	4.0000	0.035437	1	no data	1.0	0.0115
3114A	4602	254.0000	0.055188	175	0.0677	0.0417875536	0.0688
6965B	239739	92221.0000	0.384672	33058	0.1109	0.0122658256	0.1120
7626B	167007	22841.0000	0.136767	7302	0.1460	0.0219689067	0.1397
0564A	194862	22204.0000	0.113945	9902	0.1156	0.016368391	0.1108
5660B	88726	26980.0000	0.304087	7929	0.1908	0.0470843501	0.2065
7362B	168839	37689.0000	0.223223	7603	0.2360	0.0742011145	0.2208
9717B	180708	8454.0000	0.046783	1893	0.1470	0.0382003859	0.1546
0824B	89694	25432.0000	0.283538	6106	0.1635	0.0322337672	0.1605
3368A	22028	219.0000	0.009940	120	0.1021	0.0612994023	0.0899
7626A	269053	9860.0000	0.036646	3201	0.1185	0.0112982662	0.1141
3368B	224241	12946.0000	0.057733	4890	0.1804	0.0490548499	0.1781
7765B	172936	31477.0000	0.182017	7633	0.1855	0.0500854217	0.1834
